-4,14263315770262 -2,37046324080101 -4,10920407800757 0,33 GJ581
-1,3720787927896 -5,17812474992165 -3,6328433300551 0,31 GJ625
-10,2771288653713 -0,689548808536957 -1,28110924015012 0,5 GJ649
3,2858230116835 -5,13078803944235 -3,9183335375905 0 GJ667C
0,289553556890226 1,87788395689962 -4,13312807250286 0,36 GJ674
2,62857252023485 -11,6445324050122 -10,6942326239187 0,69 GJ676A
2,62857252023485 -11,6445324050122 -10,6942326239187 0,65 GJ676A
-6,25730465471029 0,544394401214319 7,35660275647444 0,46 GJ680
4,67264537508675 1,79740336766047 -0,0535850417859653 0,3 GJ682
-3,51474221812562 -0,00779254231805632 -13,8773220279134 0,54 GJ685
1,95830109176773 0,417841560428632 -4,08502321125105 0,42 GJ687
-5,73746207331618 5,59408772413493 13,3350484716757 0,56 GJ720A
-0,587848073923262 3,12626737202574 -10,6361943311784 0,56 GJ740
-1,40399738603117 0,274450008923271 4,75376055929615 0,44 GJ832
-4,83200132713472 3,20613163236076 6,61987095546009 0,47 GJ849
3,70758521679271 9,71069050738915 2,87094595733226 0,77 GJ86
-0,451634409796541 -0,55804470187051 -4,61972152835016 0,3 GJ876
-1,86979994108527 -2,31700702139016 1,39979521471757 0,47 GJ887
2,74155057432961 5,54498489224604 0,963014767049868 0,39 GJ896A
0,856673719916277 -3,94432618193152 1,92308140964815 0,16 GJ9066
6,36295197972853 10,0080631626017 1,30851292964298 0,58 GJ96
5,34670377917327 16,3495629175894 -11,1736653570598 0,66 GJ9714
16,0158587163383 -1,38685590162399 -24,9267691706411 0,6 GJ9827
-9,18283356221358 1,95194698642591 -11,640555870785 0,56 Gl378
-6,717745031278 0,26187783515904 -7,20284593297622 0,51 Gl49
4,56509235910167 3,00539131247546 -6,05547453220378 0,43 Gl686
-10,8327484284843 -5,85917581431804 26,6284635347607 0,82 HD102195
-4,69057983844415 -3,88561046050048 -7,01380385300519 0,95 HD102365
12,6815052873665 6,55736381913681 22,3251988452505 0,75 HD103949
-6,32437128005018 -5,56055464337828 -18,5402932611672 0,74 HD104067
-13,9950933761331 -7,46946942377224 -6,99077123146275 1,1 HD10647
-10,4945127484411 -6,8584095029705 26,1025106392541 0,9 HD111232
-0,281836625260554 -2,4284170106734 -16,097115077831 0,53 HD113538
24,4857830985584 -6,39164372315651 11,8050771728348 0,76 HD114386
-15,4225204219657 -1,4020929758265 13,0997873296168 2,14 HD114613
8,18841128354955 2,19287970657753 -19,2816685762389 0,84 HD114783
0,774935453951758 2,74514825240661 -10,6046770188685 0,73 HD115404A
2,66373799628 -18,3826697941932 -21,2169722706806 0,74 HD125595
12,3830056451495 16,0981139224512 -9,74772679869403 0,74 HD127506
